name,symbol,current_price_usd,market_cap,total_volume,price_change_24h,timestamputc
Bitcoin,btc,82512.0,1651466864613,90303500801,-6.56453,2026-01-30_08-32-42
Ethereum,eth,2731.4,330433146533,46389189275,-7.52362,2026-01-30_08-32-42
Tether,usdt,0.998322,185537261100,140648393753,-0.02461,2026-01-30_08-32-42
BNB,bnb,844.3,115298544951,3744138821,-6.54013,2026-01-30_08-32-42
XRP,xrp,1.75,106853803930,5360004678,-6.79231,2026-01-30_08-32-42
Bitcoin,btc,82392.0,1646381610716,90789856961,-6.25434,2026-01-30_09-34-33
Ethereum,eth,2725.57,328960066934,46192335647,-7.39413,2026-01-30_09-34-33
Tether,usdt,0.998402,185550819977,141471024184,-0.00663,2026-01-30_09-34-33
BNB,bnb,838.11,114284143352,3637192481,-7.16389,2026-01-30_09-34-33
XRP,xrp,1.74,105880691729,5244218108,-6.99292,2026-01-30_09-34-33
Bitcoin,btc,82375.0,1646711295883,91048543827,-6.1932,2026-01-30_10-29-14
Ethereum,eth,2721.81,328631132693,47761784538,-7.51766,2026-01-30_10-29-14
Tether,usdt,0.99835,185540136269,142578076659,-0.01423,2026-01-30_10-29-14
BNB,bnb,836.24,114084004003,3527675178,-6.73476,2026-01-30_10-29-14
XRP,xrp,1.74,105935338794,5138593547,-7.03962,2026-01-30_10-29-14
Bitcoin,btc,82721.0,1651689509635,90527915390,-5.88143,2026-01-30_11-16-41
Ethereum,eth,2732.98,329670759775,46490291695,-6.8974,2026-01-30_11-16-41
Tether,usdt,0.998417,185555571159,142631244307,-0.00588,2026-01-30_11-16-41
BNB,bnb,838.06,114172749552,3437350794,-6.30771,2026-01-30_11-16-41
XRP,xrp,1.75,106341520997,5063460330,-6.47753,2026-01-30_11-16-41
Bitcoin,btc,82659.0,1651813801630,91242891107,-5.76386,2026-01-30_11-24-32
Ethereum,eth,2735.25,330086655687,46306586145,-6.47281,2026-01-30_11-24-32
Tether,usdt,0.998411,185552649822,142518282230,-0.00637,2026-01-30_11-24-32
BNB,bnb,836.96,114240216114,3493912241,-6.30591,2026-01-30_11-24-32
XRP,xrp,1.75,106437810558,4982018319,-6.35566,2026-01-30_11-24-32
Bitcoin,btc,82686.0,1651980684818,91245780514,-5.902,2026-01-30_12-43-21
Ethereum,eth,2741.67,330855501769,46918202505,-6.35558,2026-01-30_12-43-21
Tether,usdt,0.99834,185539506419,143416953762,-0.01587,2026-01-30_12-43-21
BNB,bnb,837.18,114154858077,3438390842,-5.84554,2026-01-30_12-43-21
XRP,xrp,1.76,107182816870,5016889951,-5.69292,2026-01-30_12-43-21
Bitcoin,btc,82584.0,1651816568204,93304119232,-6.00737,2026-01-30_13-52-51
Ethereum,eth,2722.51,329440027404,47931244311,-7.03027,2026-01-30_13-52-51
Tether,usdt,0.99838,185549027083,145571704965,-0.01273,2026-01-30_13-52-51
BNB,bnb,843.91,115254166184,3542277065,-5.16996,2026-01-30_13-52-51
XRP,xrp,1.75,106545111423,5092884461,-6.51648,2026-01-30_13-52-51
Bitcoin,btc,82880.0,1655991395237,93827487593,-5.39323,2026-01-30_14-32-22
Ethereum,eth,2731.72,329595779465,47837078600,-6.34405,2026-01-30_14-32-22
Tether,usdt,0.998515,185568607989,146190566181,0.01066,2026-01-30_14-32-22
BNB,bnb,848.13,115619096671,3632285401,-4.37212,2026-01-30_14-32-22
XRP,xrp,1.76,106939178367,5108467205,-5.94462,2026-01-30_14-32-22
Bitcoin,btc,82652.0,1651555866339,89337649330,-3.14666,2026-01-30_15-29-33
Ethereum,eth,2711.1,327273801027,44938415677,-4.17719,2026-01-30_15-29-33
Tether,usdt,0.99866,185600827399,139143269958,0.02355,2026-01-30_15-29-33
BNB,bnb,847.28,115541913160,3473781124,-2.26914,2026-01-30_15-29-33
XRP,xrp,1.76,106859743055,5359473086,-3.10307,2026-01-30_15-29-33
Bitcoin,btc,83035.0,1658282931940,83478519534,-1.62706,2026-01-30_16-33-59
Ethereum,eth,2728.19,329199079665,44195016176,-2.84452,2026-01-30_16-33-59
Tether,usdt,0.998641,185588461544,131108827527,0.00644,2026-01-30_16-33-59
BNB,bnb,850.79,115912788694,3341104816,-0.91175,2026-01-30_16-33-59
XRP,xrp,1.76,106803868460,4972552667,-2.26671,2026-01-30_16-33-59
Bitcoin,btc,83225.0,1663329558564,80488995513,-2.03464,2026-01-30_17-29-56
Ethereum,eth,2729.59,329858758896,42206854485,-4.01323,2026-01-30_17-29-56
Tether,usdt,0.998571,185580909442,127026578550,-0.00559,2026-01-30_17-29-56
BNB,bnb,850.33,116079058171,2905247696,-1.84557,2026-01-30_17-29-56
XRP,xrp,1.77,107172624610,4916702849,-3.72691,2026-01-30_17-29-56
Bitcoin,btc,82167.0,1641839171350,78136697636,-2.06423,2026-01-30_18-35-36
Ethereum,eth,2663.61,321384493525,41292925151,-4.61276,2026-01-30_18-35-36
Tether,usdt,0.998501,185569845266,125113009716,-0.00089,2026-01-30_18-35-36
BNB,bnb,835.35,113907579336,2926551457,-3.06386,2026-01-30_18-35-36
XRP,xrp,1.72,104817535713,4830626099,-4.2139,2026-01-30_18-35-36
Bitcoin,btc,84256.0,1684255681372,79372991163,0.92624,2026-01-30_19-28-58
Ethereum,eth,2747.47,331761825042,42829655164,-0.80992,2026-01-30_19-28-58
Tether,usdt,0.998637,185586865380,127225084034,0.0237,2026-01-30_19-28-58
BNB,bnb,853.24,116418291211,2731347726,0.09733,2026-01-30_19-28-58
XRP,xrp,1.78,108135081403,4873631063,-0.38918,2026-01-30_19-28-58
Bitcoin,btc,83516.0,1669508135238,78796362539,-0.57017,2026-01-30_20-24-32
Ethereum,eth,2692.78,325961362358,43081967700,-3.69301,2026-01-30_20-24-32
Tether,usdt,0.998507,185584157365,127538410634,0.01663,2026-01-30_20-24-32
BNB,bnb,848.44,115465446082,2692516142,-1.39035,2026-01-30_20-24-32
XRP,xrp,1.76,106917181022,4977415244,-1.76459,2026-01-30_20-24-32
Bitcoin,btc,84309.0,1684255841854,80854752002,0.11541,2026-01-30_21-24-23
Ethereum,eth,2705.1,326580383332,42876054504,-3.76868,2026-01-30_21-24-23
Tether,usdt,0.998473,185563215652,131018130895,0.01954,2026-01-30_21-24-23
BNB,bnb,856.83,116856947543,2515806195,-0.63641,2026-01-30_21-24-23
XRP,xrp,1.74,106098187720,4960478652,-3.10718,2026-01-30_21-24-23
Bitcoin,btc,83850.0,1676638859776,80274631432,-0.49406,2026-01-30_22-20-32
Ethereum,eth,2692.43,325128239654,43448753292,-4.17802,2026-01-30_22-20-32
Tether,usdt,0.998362,185533951651,130929774357,-0.00506,2026-01-30_22-20-32
BNB,bnb,856.79,116858762878,2413986792,-0.70378,2026-01-30_22-20-32
XRP,xrp,1.72,104866220979,4982818515,-4.73328,2026-01-30_22-20-32
Bitcoin,btc,84030.0,1679130293152,80443460480,-0.38414,2026-01-30_23-21-14
Ethereum,eth,2701.2,326042560148,42544403555,-3.89894,2026-01-30_23-21-14
Tether,usdt,0.998495,185567873833,131024744227,0.00264,2026-01-30_23-21-14
BNB,bnb,857.82,116935930105,2407306644,-0.78712,2026-01-30_23-21-14
XRP,xrp,1.72,104903821324,5023115160,-4.15521,2026-01-30_23-21-14
Bitcoin,btc,84034.0,1679227505862,76216316450,0.54543,2026-01-31_01-28-19
Ethereum,eth,2707.51,326780140107,39810430046,-3.19848,2026-01-31_01-28-19
Tether,usdt,0.998537,185575700569,126519732468,0.01654,2026-01-31_01-28-19
BNB,bnb,854.62,116511659376,2241432574,-0.71679,2026-01-31_01-28-19
XRP,xrp,1.74,106014230557,4870135556,-3.05933,2026-01-31_01-28-19
Bitcoin,btc,83903.0,1676927447950,63228986529,1.48341,2026-01-31_04-01-49
Ethereum,eth,2692.29,324984192839,34352322297,-1.63014,2026-01-31_04-01-49
Tether,usdt,0.998467,185564922964,106955720262,-0.00522,2026-01-31_04-01-49
BNB,bnb,852.1,116170060039,1869791904,0.9228,2026-01-31_04-01-49
XRP,xrp,1.74,105968152586,4159568593,-0.41844,2026-01-31_04-01-49
Bitcoin,btc,83891.0,1676478545856,60618777612,0.87029,2026-01-31_05-35-23
Ethereum,eth,2696.89,325635947164,34556135563,-2.09809,2026-01-31_05-35-23
Tether,usdt,0.99846,185557605979,103545870668,-0.00923,2026-01-31_05-35-23
BNB,bnb,850.66,116023989338,1819374247,0.1467,2026-01-31_05-35-23
XRP,xrp,1.73,105490607639,4094378043,-1.6714,2026-01-31_05-35-23
Bitcoin,btc,83574.0,1669456383156,59047269218,1.52011,2026-01-31_06-32-44
Ethereum,eth,2684.19,323819214379,32881184270,-1.2358,2026-01-31_06-32-44
Tether,usdt,0.998401,185548777249,101460813254,-0.00622,2026-01-31_06-32-44
BNB,bnb,848.18,115679960790,1785592686,1.1024,2026-01-31_06-32-44
XRP,xrp,1.73,105200205314,4022456764,-1.02089,2026-01-31_06-32-44
Bitcoin,btc,83589.0,1670139025574,56977342074,1.1152,2026-01-31_07-24-57
Ethereum,eth,2686.11,324121311981,31576887005,-1.93228,2026-01-31_07-24-57
Tether,usdt,0.998351,185544665843,98524054571,-0.01345,2026-01-31_07-24-57
BNB,bnb,848.71,115731555522,1730782184,0.52019,2026-01-31_07-24-57
XRP,xrp,1.72,104931873257,3887527323,-1.69549,2026-01-31_07-24-57
Bitcoin,btc,83127.0,1660980342115,55627613537,0.5403,2026-01-31_08-24-33
Ethereum,eth,2664.94,321563158289,31311133427,-2.75398,2026-01-31_08-24-33
Tether,usdt,0.998451,185552522864,96609005230,0.01182,2026-01-31_08-24-33
BNB,bnb,842.46,114873241990,1738495115,-0.38538,2026-01-31_08-24-33
XRP,xrp,1.71,103993875601,3984643863,-2.76879,2026-01-31_08-24-33
Bitcoin,btc,82888.0,1656648114632,55981067845,0.62048,2026-01-31_09-23-53
Ethereum,eth,2634.96,318046386537,32126037258,-3.35415,2026-01-31_09-23-53
Tether,usdt,0.998432,185557340073,98802145744,0.00051,2026-01-31_09-23-53
BNB,bnb,836.94,114137136540,1774222352,-0.17687,2026-01-31_09-23-53
XRP,xrp,1.7,103166779067,4108029837,-2.71577,2026-01-31_09-23-53
